level,score,name,time,A0,A1,A2,A3,A4,A5,AlmostDeath,CoinPerSec,KillPerSec,ShotPerSec,MissPerSec
4,117,Fern,45,266.5,342.5,9,16,20,4,FALSE,20,35.5556,44.4444,8.8889
4,138,Fern,50,305,342.5,10,20,25,5,TRUE,20,40,50,10
1,0,Fern,5,368,405.5,0,0,0,0,FALSE,0,0,0,0
1,13,Fern,10,459,405.5,1,3,5,1,FALSE,10,30,50,10
1,36,Fern,15,119.5,405.5,3,6,8,2,FALSE,20,40,53.3333,13.3333
2,57,Fern,20,501,188.5,5,7,9,2,FALSE,25,35,45,10
2,60,Fern,25,371.5,342.5,5,9,11,2,FALSE,20,36,44,8
2,83,Fern,30,494,342.5,7,11,14,2,FALSE,23.3333,36.6667,46.6667,6.6667
3,106,Fern,35,357.5,342.5,8,17,19,2,FALSE,22.8571,48.5714,54.2857,5.7143
3,122,Fern,40,553.5,402,9,20,22,2,TRUE,22.5,50,55,5
1,0,Fern,5,431,377.5,0,0,0,0,FALSE,0,0,0,0
1,12,Fern,10,291,332,1,2,2,0,FALSE,10,20,20,0
1,33,Fern,15,371.5,332,3,3,4,1,FALSE,20,20,26.6667,6.6667
2,45,Fern,20,368,332,4,5,7,2,FALSE,20,25,35,10
2,49,Fern,25,399.5,374,4,7,9,2,FALSE,16,28,36,8
2,72,Fern,30,602.5,374,6,9,12,3,FALSE,20,30,40,10
3,78,Fern,35,714.5,374,6,12,15,3,FALSE,17.1429,34.2857,42.8571,8.5714
3,94,Fern,40,505,374,7,14,18,4,FALSE,17.5,35,45,10
3,105,Fern,45,225,374,7,19,26,6,TRUE,15.5556,42.2222,57.7778,13.3333
1,0,Fern,5,368,349.5,0,0,0,0,FALSE,0,0,0,0
1,3,Fern,10,217.5,349.5,0,3,3,0,FALSE,0,30,30,0
1,34,Fern,15,455.5,297,3,4,4,0,FALSE,20,26.6667,26.6667,0
2,46,Fern,20,347,297,4,6,8,1,FALSE,20,30,40,5
2,67,Fern,25,319,297,5,13,14,1,FALSE,20,52,56,4
2,78,Fern,30,336.5,297,6,14,15,1,FALSE,20,46.6667,50,3.3333
3,87,Fern,35,511.5,297,6,18,19,1,FALSE,17.1429,51.4286,54.2857,2.8571
3,100,Fern,40,511.5,353,6,24,26,1,FALSE,15,60,65,2.5
3,107,Fern,45,291,353,6,28,31,3,FALSE,13.3333,62.2222,68.8889,6.6667
4,128,Fern,50,410,353,6,36,40,3,FALSE,12,72,80,6
4,156,Fern,55,70.5,353,6,46,51,5,TRUE,10.9091,83.6364,92.7273,9.0909
1,0,Fern,5,368,402,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,406.5,328.5,0,2,3,0,FALSE,0,20,30,0
1,33,Fern,15,497.5,332,3,3,4,1,FALSE,20,20,26.6667,6.6667
2,45,Fern,20,329.5,311,4,5,8,3,FALSE,20,25,40,15
2,59,Fern,25,375,283,5,8,14,5,FALSE,20,32,56,20
2,72,Fern,30,354,335.5,6,11,18,6,FALSE,20,36.6667,60,20
3,90,Fern,35,168.5,321.5,7,16,23,6,FALSE,20,45.7143,65.7143,17.1429
3,100,Fern,40,371.5,321.5,7,21,30,9,TRUE,17.5,52.5,75,22.5
1,0,Fern,5,546.5,377.5,0,0,0,0,FALSE,0,0,0,0
1,3,Fern,10,18,311,0,3,4,1,FALSE,0,30,40,10
1,24,Fern,15,371.5,311,2,4,5,1,FALSE,13.3333,26.6667,33.3333,6.6667
2,35,Fern,20,0,328.5,3,5,6,1,FALSE,15,25,30,5
2,50,Fern,25,430.5,328.5,4,8,9,1,FALSE,16,32,36,4
2,76,Fern,30,346.5,328.5,6,13,14,1,FALSE,20,43.3333,46.6667,3.3333
3,90,Fern,35,98,328.5,7,16,18,2,FALSE,20,45.7143,51.4286,5.7143
3,110,Fern,40,406,363.5,8,22,25,2,FALSE,20,55,62.5,5
3,128,Fern,45,182,363.5,9,26,32,4,FALSE,20,57.7778,71.1111,8.8889
4,142,Fern,50,122.5,363.5,9,32,38,5,FALSE,18,64,76,10
4,166,Fern,55,217,314.5,10,37,44,7,FALSE,18.1818,67.2727,80,12.7273
4,181,Fern,60,308,314.5,10,41,51,9,FALSE,16.6667,68.3333,85,15
5,188,Fern,65,119,314.5,10,43,55,11,FALSE,15.3846,66.1538,84.6154,16.9231
5,202,Fern,70,150.5,293.5,10,47,63,15,FALSE,14.2857,67.1429,90,21.4286
5,236,Fern,75,52.5,293.5,12,52,71,19,TRUE,16,69.3333,94.6667,25.3333
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,11,Fern,10,378.5,286.5,1,1,1,0,FALSE,10,10,10,0
1,24,Fern,15,350.5,349.5,2,4,4,0,FALSE,13.3333,26.6667,26.6667,0
2,46,Fern,20,224.5,300.5,4,6,6,0,FALSE,20,30,30,0
2,61,Fern,25,287.5,300.5,5,9,10,1,TRUE,20,36,40,4
1,0,Fern,5,350.5,300.5,0,0,0,0,FALSE,0,0,0,0
1,13,Fern,10,340,300.5,1,3,3,0,FALSE,10,30,30,0
1,37,Fern,15,354,300.5,3,7,8,1,FALSE,20,46.6667,53.3333,6.6667
2,58,Fern,20,602.5,300.5,5,8,10,1,FALSE,25,40,50,5
2,62,Fern,25,378.5,367,5,10,13,3,FALSE,20,40,52,12
2,75,Fern,30,221,367,6,12,15,3,TRUE,20,40,50,10
1,1,Fern,5,242,360,0,1,1,0,FALSE,0,20,20,0
1,11,Fern,10,49.5,360,1,1,1,0,FALSE,10,10,10,0
1,23,Fern,15,298,160.5,2,3,3,0,FALSE,13.3333,20,20,0
2,43,Fern,20,224.5,536,4,3,4,0,FALSE,20,15,20,0
2,48,Fern,25,193,452,4,6,8,2,FALSE,16,24,32,8
2,56,Fern,30,144,452,4,11,14,3,FALSE,13.3333,36.6667,46.6667,10
3,71,Fern,35,259.5,452,5,15,21,5,FALSE,14.2857,42.8571,60,14.2857
3,76,Fern,40,109,452,5,17,22,5,FALSE,12.5,42.5,55,12.5
3,83,Fern,45,242,452,5,21,27,6,FALSE,11.1111,46.6667,60,13.3333
4,102,Fern,50,102,427.5,6,25,32,7,FALSE,12,50,64,14
4,120,Fern,55,7.5,368,6,31,40,8,FALSE,10.9091,56.3636,72.7273,14.5455
4,130,Fern,60,315.5,385.5,6,35,46,10,TRUE,10,58.3333,76.6667,16.6667
1,0,Fern,5,476.5,314.5,0,0,0,0,FALSE,0,0,0,0
1,3,Fern,10,235,356.5,0,3,5,2,FALSE,0,30,50,20
1,24,Fern,15,284,360,2,4,7,2,FALSE,13.3333,26.6667,46.6667,13.3333
2,44,Fern,20,70.5,314.5,4,4,7,3,TRUE,20,20,35,15
1,0,Fern,5,291,328.5,0,0,0,0,FALSE,0,0,0,0
1,12,Fern,10,137,370.5,1,2,2,0,FALSE,10,20,20,0
1,23,Fern,15,602.5,370.5,2,3,4,0,FALSE,13.3333,20,26.6667,0
2,33,Fern,20,543,370.5,3,3,7,2,FALSE,15,15,35,10
2,66,Fern,25,609.5,370.5,6,5,8,3,TRUE,24,20,32,12
1,0,Fern,5,312,377.5,0,0,1,0,FALSE,0,0,20,0
1,4,Fern,10,462.5,377.5,0,4,4,0,FALSE,0,40,40,0
1,27,Fern,15,343.5,377.5,2,7,7,0,FALSE,13.3333,46.6667,46.6667,0
2,48,Fern,20,252.5,377.5,4,8,9,1,FALSE,20,40,45,5
2,60,Fern,25,179,377.5,5,9,13,3,FALSE,20,36,52,12
2,73,Fern,30,151,377.5,6,11,14,3,FALSE,20,36.6667,46.6667,10
3,88,Fern,35,165,377.5,7,14,20,5,FALSE,20,40,57.1429,14.2857
3,99,Fern,40,368,377.5,8,15,21,6,FALSE,20,37.5,52.5,15
3,119,Fern,45,518.5,377.5,9,20,26,6,TRUE,20,44.4444,57.7778,13.3333
1,0,Fern,5,616.5,395,0,0,0,0,FALSE,0,0,0,0
1,11,Fern,10,609.5,304,1,1,1,0,FALSE,10,10,10,0
1,34,Fern,15,210.5,335.5,3,4,6,0,FALSE,20,26.6667,40,0
2,44,Fern,20,630.5,216.5,4,4,6,2,FALSE,20,20,30,10
2,48,Fern,25,277,430,4,6,10,3,FALSE,16,24,40,12
2,52,Fern,30,543,430,4,8,14,5,FALSE,13.3333,26.6667,46.6667,16.6667
3,65,Fern,35,361,381,5,10,20,6,TRUE,14.2857,28.5714,57.1429,17.1429
1,0,Fern,5,368,398.5,0,0,0,0,FALSE,0,0,0,0
1,13,Fern,10,445,381,1,3,3,0,FALSE,10,30,30,0
1,25,Fern,15,193,381,2,5,5,0,FALSE,13.3333,33.3333,33.3333,0
2,47,Fern,20,420.5,381,4,7,8,1,FALSE,20,35,40,5
2,59,Fern,25,571,381,5,9,11,2,FALSE,20,36,44,8
2,87,Fern,30,420.5,381,7,14,18,3,FALSE,23.3333,46.6667,60,10
3,97,Fern,35,630.5,381,7,19,25,5,FALSE,20,54.2857,71.4286,14.2857
3,118,Fern,40,736,381,8,24,29,5,FALSE,20,60,72.5,12.5
3,124,Fern,45,473.5,381,8,26,32,6,FALSE,17.7778,57.7778,71.1111,13.3333
4,135,Fern,50,319.5,381,8,31,38,6,FALSE,16,62,76,12
4,148,Fern,55,120,381,9,32,40,8,FALSE,16.3636,58.1818,72.7273,14.5455
4,160,Fern,60,109.5,381,9,35,44,9,TRUE,15,58.3333,73.3333,15
1,0,Fern,5,368,381,0,0,0,0,FALSE,0,0,0,0
1,11,Fern,10,221,370.5,1,1,2,0,FALSE,10,10,20,0
1,34,Fern,15,662,370.5,3,4,4,0,FALSE,20,26.6667,26.6667,0
2,47,Fern,20,679.5,465,4,7,7,0,FALSE,20,35,35,0
2,72,Fern,25,445,391.5,6,10,11,1,FALSE,24,40,44,4
2,92,Fern,30,49.5,391.5,8,10,12,1,FALSE,26.6667,33.3333,40,3.3333
3,95,Fern,35,203.5,391.5,8,11,13,2,FALSE,22.8571,31.4286,37.1429,5.7143
3,115,Fern,40,403,391.5,9,15,18,3,FALSE,22.5,37.5,45,7.5
3,124,Fern,45,175.5,391.5,9,19,23,4,FALSE,20,42.2222,51.1111,8.8889
4,139,Fern,50,32,391.5,9,24,29,5,FALSE,18,48,58,10
4,164,Fern,55,116,328.5,9,33,40,6,FALSE,16.3636,60,72.7273,10.9091
4,184,Fern,60,221,328.5,9,39,48,8,TRUE,15,65,80,13.3333
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,3,Fern,10,483.5,388,0,3,3,0,FALSE,0,30,30,0
1,14,Fern,15,511.5,318,1,4,4,0,FALSE,6.6667,26.6667,26.6667,0
2,35,Fern,20,476.5,314.5,3,5,5,0,FALSE,15,25,25,0
2,43,Fern,25,284,349.5,3,9,10,1,TRUE,12,36,40,4
1,0,Fern,5,368,465,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,532.5,349.5,0,2,2,0,FALSE,0,20,20,0
1,23,Fern,15,357.5,349.5,2,3,4,1,FALSE,13.3333,20,26.6667,6.6667
2,35,Fern,20,270,349.5,3,5,6,1,FALSE,15,25,30,5
2,51,Fern,25,133.5,349.5,4,9,10,1,FALSE,16,36,40,4
2,67,Fern,30,420.5,349.5,5,13,15,2,FALSE,16.6667,43.3333,50,6.6667
3,85,Fern,35,508,349.5,6,18,21,3,FALSE,17.1429,51.4286,60,8.5714
3,113,Fern,40,200,349.5,8,22,27,3,FALSE,20,55,67.5,7.5
3,123,Fern,45,143.5,349.5,9,22,27,5,FALSE,20,48.8889,60,11.1111
4,129,Fern,50,150.5,349.5,9,25,31,6,FALSE,18,50,62,12
4,133,Fern,55,329,349.5,9,27,37,9,FALSE,16.3636,49.0909,67.2727,16.3636
4,145,Fern,60,231,349.5,9,34,45,11,FALSE,15,56.6667,75,18.3333
5,167,Fern,65,119,454.5,10,38,51,11,FALSE,15.3846,58.4615,78.4615,16.9231
5,175,Fern,70,45.5,454.5,10,42,56,14,FALSE,14.2857,60,80,20
5,201,Fern,75,213.5,433.5,11,47,62,15,FALSE,14.6667,62.6667,82.6667,20
6,252,Fern,80,595,433.5,12,61,76,15,TRUE,15,76.25,95,18.75
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,0,Fern,10,119.5,419.5,0,0,0,0,FALSE,0,0,0,0
1,12,Fern,15,420.5,419.5,1,2,2,0,FALSE,6.6667,13.3333,13.3333,0
2,34,Fern,20,298,419.5,3,4,6,2,FALSE,15,20,30,10
2,53,Fern,25,228,419.5,4,9,14,4,FALSE,16,36,56,16
2,66,Fern,30,693.5,398.5,5,11,18,7,FALSE,16.6667,36.6667,60,23.3333
3,79,Fern,35,368,440.5,6,13,20,7,FALSE,17.1429,37.1429,57.1429,20
3,97,Fern,40,221,500,7,16,24,8,TRUE,17.5,40,60,20
1,0,Fern,5,368,381,0,0,0,0,FALSE,0,0,0,0
1,4,Fern,10,336.5,381,0,4,4,0,FALSE,0,40,40,0
1,16,Fern,15,340,381,1,6,6,0,FALSE,6.6667,40,40,0
2,27,Fern,20,361,381,2,7,9,2,FALSE,10,35,45,10
2,41,Fern,25,193,381,3,10,13,3,FALSE,12,40,52,12
2,57,Fern,30,371.5,381,4,14,18,4,FALSE,13.3333,46.6667,60,13.3333
3,80,Fern,35,315.5,381,6,16,22,5,FALSE,17.1429,45.7143,62.8571,14.2857
3,101,Fern,40,389,381,7,22,30,7,FALSE,17.5,55,75,17.5
3,114,Fern,45,189.5,381,7,28,39,10,FALSE,15.5556,62.2222,86.6667,22.2222
4,135,Fern,50,154.5,381,7,36,49,12,FALSE,14,72,98,24
4,152,Fern,55,291,381,7,44,59,14,TRUE,12.7273,80,107.2727,25.4545
1,0,Fern,5,368,328.5,0,0,0,0,FALSE,0,0,0,0
1,14,Fern,10,235,328.5,1,4,4,0,FALSE,10,40,40,0
1,25,Fern,15,343.5,328.5,2,5,5,0,FALSE,13.3333,33.3333,33.3333,0
2,39,Fern,20,462.5,388,3,8,9,0,FALSE,15,40,45,0
2,52,Fern,25,196.5,388,4,10,14,3,FALSE,16,40,56,12
2,75,Fern,30,242,388,6,12,17,4,FALSE,20,40,56.6667,13.3333
3,95,Fern,35,476.5,388,7,18,24,4,FALSE,20,51.4286,68.5714,11.4286
3,120,Fern,40,186,388,8,26,33,6,FALSE,20,65,82.5,15
3,125,Fern,45,476.5,353,8,28,35,7,FALSE,17.7778,62.2222,77.7778,15.5556
4,151,Fern,50,683,353,9,34,43,8,TRUE,18,68,86,16
1,0,Fern,5,368,405.5,0,0,0,0,FALSE,0,0,0,0
1,1,Fern,10,203.5,405.5,0,1,1,0,FALSE,0,10,10,0
1,33,Fern,15,574.5,405.5,3,3,3,0,FALSE,20,20,20,0
2,34,Fern,20,599.5,405.5,3,4,5,0,FALSE,15,20,25,0
2,57,Fern,25,158.5,405.5,4,11,14,2,FALSE,16,44,56,8
2,70,Fern,30,245,405.5,5,13,16,3,FALSE,16.6667,43.3333,53.3333,10
3,85,Fern,35,472.5,405.5,6,16,21,4,FALSE,17.1429,45.7143,60,11.4286
3,104,Fern,40,542.5,398.5,7,19,24,4,FALSE,17.5,47.5,60,10
3,119,Fern,45,87.5,398.5,8,22,29,7,FALSE,17.7778,48.8889,64.4444,15.5556
4,140,Fern,50,91,398.5,9,27,36,8,TRUE,18,54,72,16
1,0,Fern,5,368,370.5,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,329.5,370.5,0,2,3,0,FALSE,0,20,30,0
1,25,Fern,15,350.5,391.5,2,5,5,0,FALSE,13.3333,33.3333,33.3333,0
2,36,Fern,20,84.5,314.5,3,6,9,3,FALSE,15,30,45,15
2,37,Fern,25,129.5,423,3,7,10,3,FALSE,12,28,40,12
2,70,Fern,30,304.5,423,6,9,13,4,FALSE,20,30,43.3333,13.3333
3,80,Fern,35,224,423,6,14,18,4,FALSE,17.1429,40,51.4286,11.4286
3,93,Fern,40,80.5,423,7,15,19,4,FALSE,17.5,37.5,47.5,10
3,114,Fern,45,266,423,8,19,25,5,FALSE,17.7778,42.2222,55.5556,11.1111
4,132,Fern,50,381.5,349.5,9,22,29,6,FALSE,18,44,58,12
4,153,Fern,55,266,349.5,10,27,35,6,FALSE,18.1818,49.0909,63.6364,10.9091
4,171,Fern,60,241.5,349.5,10,33,43,9,FALSE,16.6667,55,71.6667,15
5,211,Fern,65,154,349.5,12,39,50,10,FALSE,18.4615,60,76.9231,15.3846
5,224,Fern,70,35,349.5,12,43,56,13,FALSE,17.1429,61.4286,80,18.5714
5,227,Fern,75,126,349.5,12,44,60,15,TRUE,16,58.6667,80,20
1,0,Fern,5,368,486,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,287.5,370.5,0,2,3,1,FALSE,0,20,30,10
1,13,Fern,15,49.5,444,1,3,5,2,FALSE,6.6667,20,33.3333,13.3333
2,34,Fern,20,252.5,419.5,3,4,8,3,FALSE,15,20,40,15
2,46,Fern,25,466,419.5,4,6,11,4,FALSE,16,24,44,16
2,65,Fern,30,308.5,419.5,5,11,17,6,FALSE,16.6667,36.6667,56.6667,20
3,82,Fern,35,235,419.5,6,14,21,6,FALSE,17.1429,40,60,17.1429
3,88,Fern,40,280.5,419.5,6,17,28,10,FALSE,15,42.5,70,25
3,107,Fern,45,487,419.5,7,22,33,11,FALSE,15.5556,48.8889,73.3333,24.4444
4,112,Fern,50,494,419.5,7,27,39,12,FALSE,14,54,78,24
4,138,Fern,55,515.5,419.5,8,33,46,12,TRUE,14.5455,60,83.6364,21.8182
1,0,Fern,5,340,349.5,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,144,349.5,0,2,3,0,FALSE,0,20,30,0
1,34,Fern,15,431,349.5,3,4,5,1,FALSE,20,26.6667,33.3333,6.6667
2,46,Fern,20,375,493,4,6,8,2,FALSE,20,30,40,10
2,59,Fern,25,217.5,437,5,8,12,3,FALSE,20,32,48,12
2,76,Fern,30,133.5,360,6,12,16,3,FALSE,20,40,53.3333,10
3,90,Fern,35,315.5,388,7,14,19,4,FALSE,20,40,54.2857,11.4286
3,126,Fern,40,109,388,10,17,24,5,FALSE,25,42.5,60,12.5
3,137,Fern,45,238,388,10,22,34,11,FALSE,22.2222,48.8889,75.5556,24.4444
4,167,Fern,50,392,388,12,26,38,12,FALSE,24,52,76,24
4,178,Fern,55,462,468.5,12,31,46,14,FALSE,21.8182,56.3636,83.6364,25.4545
4,207,Fern,60,567,412.5,13,38,52,14,TRUE,21.6667,63.3333,86.6667,23.3333
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,0,Fern,10,0,255,0,0,0,0,FALSE,0,0,0,0
1,30,Fern,15,350,202.5,3,0,0,0,FALSE,20,0,0,0
2,50,Fern,20,388.5,304,5,0,0,0,FALSE,25,0,0,0
2,60,Fern,25,479.5,430,6,0,1,1,FALSE,24,0,4,4
2,75,Fern,30,350,430,7,3,5,2,FALSE,23.3333,10,16.6667,6.6667
3,95,Fern,35,465.5,430,8,10,13,2,FALSE,22.8571,28.5714,37.1429,5.7143
3,114,Fern,40,371,430,9,13,18,3,FALSE,22.5,32.5,45,7.5
3,128,Fern,45,294,430,9,20,26,6,FALSE,20,44.4444,57.7778,13.3333
4,170,Fern,50,416.5,496.5,12,24,31,7,FALSE,24,48,62,14
4,192,Fern,55,465.5,496.5,12,31,39,7,FALSE,21.8182,56.3636,70.9091,12.7273
4,206,Fern,60,490,496.5,12,36,44,8,TRUE,20,60,73.3333,13.3333
1,0,Fern,5,368,377.5,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,634,398.5,0,2,2,0,FALSE,0,20,20,0
1,43,Fern,15,168.5,220,4,3,3,0,FALSE,26.6667,20,20,0
2,45,Fern,20,396,353,4,5,5,0,FALSE,20,25,25,0
2,68,Fern,25,252.5,353,6,7,9,2,FALSE,24,28,36,8
2,79,Fern,30,126.5,353,7,8,10,2,FALSE,23.3333,26.6667,33.3333,6.6667
3,86,Fern,35,214,353,7,11,13,2,FALSE,20,31.4286,37.1429,5.7143
3,91,Fern,40,200,328.5,7,14,17,3,FALSE,17.5,35,42.5,7.5
3,99,Fern,45,165,328.5,7,18,24,5,TRUE,15.5556,40,53.3333,11.1111
1,0,Fern,5,410,423,0,0,0,0,FALSE,0,0,0,0
1,31,Fern,10,522,160.5,3,1,1,0,FALSE,30,10,10,0
1,54,Fern,15,70.5,206,5,4,6,2,FALSE,33.3333,26.6667,40,13.3333
2,54,Fern,20,546.5,244.5,5,4,6,2,FALSE,25,20,30,10
2,65,Fern,25,522,318,6,5,8,2,FALSE,24,20,32,8
2,77,Fern,30,298,444,7,6,11,3,FALSE,23.3333,20,36.6667,10
3,95,Fern,35,214,377.5,8,10,17,5,TRUE,22.8571,28.5714,48.5714,14.2857
1,0,Fern,5,221,398.5,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,315.5,398.5,0,2,2,0,FALSE,0,20,20,0
1,32,Fern,15,483.5,370.5,3,2,2,0,FALSE,20,13.3333,13.3333,0
2,47,Fern,20,277,370.5,4,5,5,0,FALSE,20,25,25,0
2,50,Fern,25,252.5,370.5,4,7,8,1,FALSE,16,28,32,4
2,72,Fern,30,476.5,370.5,6,9,10,1,FALSE,20,30,33.3333,3.3333
3,98,Fern,35,196.5,503.5,8,13,18,4,FALSE,22.8571,37.1429,51.4286,11.4286
3,117,Fern,40,368,388,9,17,21,4,FALSE,22.5,42.5,52.5,10
3,132,Fern,45,172,388,9,23,30,6,FALSE,20,51.1111,66.6667,13.3333
4,185,Fern,50,364.5,388,12,33,42,8,FALSE,24,66,84,16
4,193,Fern,55,242,388,12,37,48,10,FALSE,21.8182,67.2727,87.2727,18.1818
4,222,Fern,60,333,388,13,44,57,12,FALSE,21.6667,73.3333,95,20
5,246,Fern,65,701,388,13,52,67,14,TRUE,20,80,103.0769,21.5385
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,1,Fern,10,417,454.5,0,1,1,0,FALSE,0,10,10,0
1,22,Fern,15,259.5,416,2,2,2,0,FALSE,13.3333,13.3333,13.3333,0
2,34,Fern,20,413.5,416,3,4,5,0,FALSE,15,20,25,0
2,48,Fern,25,389,416,4,7,11,3,FALSE,16,28,44,12
2,74,Fern,30,294.5,377.5,6,10,15,5,FALSE,20,33.3333,50,16.6667
3,92,Fern,35,466,461.5,7,14,20,6,FALSE,20,40,57.1429,17.1429
3,106,Fern,40,403,423,8,16,23,6,FALSE,20,40,57.5,15
3,129,Fern,45,224.5,423,9,21,29,8,FALSE,20,46.6667,64.4444,17.7778
4,152,Fern,50,301.5,423,10,26,35,8,FALSE,20,52,70,16
4,160,Fern,55,354,423,10,30,41,11,FALSE,18.1818,54.5455,74.5455,20
4,190,Fern,60,452,423,10,39,52,12,FALSE,16.6667,65,86.6667,20
5,214,Fern,65,644.5,423,10,46,61,14,TRUE,15.3846,70.7692,93.8462,21.5385
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,3,Fern,10,347,419.5,0,3,3,0,FALSE,0,30,30,0
1,33,Fern,15,154,311,3,3,4,0,FALSE,20,20,26.6667,0
2,34,Fern,20,112,178,3,4,5,1,FALSE,15,20,25,5
2,60,Fern,25,637,447.5,5,7,10,2,FALSE,20,28,40,8
2,64,Fern,30,696.5,447.5,5,9,12,3,FALSE,16.6667,30,40,10
3,85,Fern,35,708,447.5,7,10,17,5,FALSE,20,28.5714,48.5714,14.2857
3,85,Fern,40,414,388,7,10,19,9,FALSE,17.5,25,47.5,22.5
3,115,Fern,45,522.5,388,9,15,26,11,FALSE,20,33.3333,57.7778,24.4444
4,141,Fern,50,631,388,10,21,33,12,FALSE,20,42,66,24
4,161,Fern,55,568,388,10,28,44,15,FALSE,18.1818,50.9091,80,27.2727
4,181,Fern,60,459.5,388,10,36,52,15,FALSE,16.6667,60,86.6667,25
5,208,Fern,65,379,388,11,43,61,17,FALSE,16.9231,66.1538,93.8462,26.1538
5,246,Fern,70,634.5,388,12,50,71,20,FALSE,17.1429,71.4286,101.4286,28.5714
5,272,Fern,75,729,388,12,57,79,20,TRUE,16,76,105.3333,26.6667
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,12,Fern,10,333,276,1,2,4,1,FALSE,10,20,40,10
1,34,Fern,15,354,395,3,4,9,5,FALSE,20,26.6667,60,33.3333
2,54,Fern,20,280.5,314.5,5,4,9,5,FALSE,25,20,45,25
2,60,Fern,25,490.5,332,5,7,16,7,FALSE,20,28,64,28
2,83,Fern,30,550,332,7,9,17,8,FALSE,23.3333,30,56.6667,26.6667
3,97,Fern,35,343.5,395,8,12,20,8,TRUE,22.8571,34.2857,57.1429,22.8571
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,1,Fern,10,252.5,536,0,1,1,0,FALSE,0,10,10,0
1,12,Fern,15,571,536,1,2,2,0,FALSE,6.6667,13.3333,13.3333,0
2,24,Fern,20,28.5,462.5,2,4,5,0,FALSE,10,20,25,0
2,29,Fern,25,413.5,462.5,2,8,11,2,FALSE,8,32,44,8
2,48,Fern,30,736,536,3,14,19,4,FALSE,10,46.6667,63.3333,13.3333
3,73,Fern,35,228.5,536,5,16,22,5,FALSE,14.2857,45.7143,62.8571,14.2857
3,93,Fern,40,144.5,420.5,6,20,27,6,FALSE,15,50,67.5,15
3,131,Fern,45,449,420.5,8,28,36,7,FALSE,17.7778,62.2222,80,15.5556
4,151,Fern,50,676.5,378.5,9,32,41,8,FALSE,18,64,82,16
4,163,Fern,55,480.5,378.5,9,37,50,12,FALSE,16.3636,67.2727,90.9091,21.8182
4,188,Fern,60,365,378.5,9,44,57,12,FALSE,15,73.3333,95,20
5,211,Fern,65,655.5,378.5,9,53,66,13,FALSE,13.8462,81.5385,101.5385,20
5,240,Fern,70,631,378.5,10,59,73,13,TRUE,14.2857,84.2857,104.2857,18.5714
1,0,Fern,5,529,395,0,0,0,0,FALSE,0,0,0,0
1,2,Fern,10,476.5,356.5,0,2,2,0,FALSE,0,20,20,0
1,23,Fern,15,259.5,419.5,2,3,4,0,FALSE,13.3333,20,26.6667,0
2,44,Fern,20,683,419.5,4,4,6,2,FALSE,20,20,30,10
2,61,Fern,25,518.5,419.5,5,9,13,3,FALSE,20,36,52,12
2,74,Fern,30,574.5,419.5,6,11,16,5,FALSE,20,36.6667,53.3333,16.6667
3,100,Fern,35,210.5,419.5,8,15,21,5,FALSE,22.8571,42.8571,60,14.2857
3,112,Fern,40,459,419.5,8,21,29,7,FALSE,20,52.5,72.5,17.5
3,138,Fern,45,630.5,419.5,10,24,31,7,FALSE,22.2222,53.3333,68.8889,15.5556
4,160,Fern,50,473,419.5,11,27,34,7,FALSE,22,54,68,14
4,194,Fern,55,46,419.5,13,31,39,8,FALSE,23.6364,56.3636,70.9091,14.5455
4,205,Fern,60,175,434.5,13,34,43,9,TRUE,21.6667,56.6667,71.6667,15
1,0,Fern,5,368,360,0,0,1,0,FALSE,0,0,20,0
1,3,Fern,10,312,409,0,3,4,1,FALSE,0,30,40,10
1,33,Fern,15,417,409,3,3,4,1,FALSE,20,20,26.6667,6.6667
2,36,Fern,20,308.5,409,3,6,7,1,FALSE,15,30,35,5
2,58,Fern,25,452,409,5,7,9,1,FALSE,20,28,36,4
2,75,Fern,30,476.5,409,6,12,15,2,FALSE,20,40,50,6.6667
3,103,Fern,35,315.5,409,8,15,21,4,FALSE,22.8571,42.8571,60,11.4286
3,129,Fern,40,123,409,9,22,30,6,FALSE,22.5,55,75,15
3,156,Fern,45,413.5,409,9,32,40,7,TRUE,20,71.1111,88.8889,15.5556
1,0,Fern,5,368,500,0,0,0,0,FALSE,0,0,0,0
1,0,Fern,10,322.5,398.5,0,0,2,1,FALSE,0,0,20,10
1,2,Fern,15,189.5,398.5,0,2,6,4,FALSE,0,13.3333,40,26.6667
